,Transformation parameter epsilon,RMS myeloma PLM,Parameter A,Parameter gamma,Inverse parameter A,Inverse parameter gamma
0,0.0,0.6294782582944095,1.5316391776294348e-07,4.431844984772758,1.5316391776294348e-07,4.431844984772758
1,0.00277814501226431,0.6294236959016898,1.5198362118178155e-07,4.430769910345504,1.5386599803411383e-07,4.430769910345504
2,0.00555629002452862,0.6293696258008253,1.5081335955812723e-07,4.42969478076968,1.5457133605352112e-07,4.42969478076968
3,0.00833443503679293,0.6293160488564123,1.496529723050471e-07,4.428619704161123,1.552798758037946e-07,4.428619704161123
4,0.01111258004905724,0.6292629622490298,1.485024310492729e-07,4.427544584192493,1.5599169558818825e-07,4.427544584192493
5,0.01389072506132155,0.6292103720919949,1.4736160414850752e-07,4.426469487259029,1.567067663958463e-07,4.426469487259029
6,0.01666887007358586,0.6291582743616692,1.4623042205337488e-07,4.425394383879043,1.5742512286771213e-07,4.425394383879043
7,0.01944701508585017,0.6291066896188263,1.451087632855489e-07,4.424319328016981,1.5814674338213467e-07,4.424319328016981
8,0.02222516009811448,0.6290555968808572,1.4399654545292803e-07,4.4232443145479134,1.5887164664683156e-07,4.4232443145479134
9,0.02500330511037879,0.6290049998336635,1.42893758865962e-07,4.422169219477145,1.5959993143183877e-07,4.422169219477145
10,0.0277814501226431,0.6289549153498898,1.4180011934466651e-07,4.4210943690617635,1.6033139122781652e-07,4.4210943690617635
11,0.03055959513490741,0.6289053231204046,1.407157329725535e-07,4.4200194531325225,1.6106625178711802e-07,4.4200194531325225
12,0.03333774014717172,0.6288562377941531,1.3964044753548444e-07,4.418944584861526,1.6180445098917606e-07,4.418944584861526
13,0.03611588515943603,0.6288076616797329,1.3857415378695944e-07,4.417869810125427,1.625459721770419e-07,4.417869810125427
14,0.03889403017170034,0.6287595897474199,1.3751680182507303e-07,4.416795076951569,1.6329086619105314e-07,4.416795076951569
15,0.04167217518396465,0.6287120204630298,1.3646829570407045e-07,4.415720411730318,1.6403912989806567e-07,4.415720411730318
16,0.04445032019622896,0.6286649650492885,1.35428571129717e-07,4.414645788088357,1.647907965644534e-07,4.414645788088357
17,0.04722846520849327,0.628618420714173,1.343974391022316e-07,4.413571396672656,1.6554574753341627e-07,4.413571396672656
18,0.05000661022075758,0.6285723852049927,1.3337495953340603e-07,4.412497000659389,1.6630416381009197e-07,4.412497000659389
19,0.05278475523302189,0.6285268597764768,1.3236097544064178e-07,4.4114227385742275,1.6706596294331877e-07,4.4114227385742275
20,0.0555629002452862,0.6284818497999656,1.313554455279301e-07,4.410348549482447,1.6783120294318644e-07,4.410348549482447
21,0.05834104525755051,0.6284373507177367,1.3035826165290896e-07,4.4092744913896915,1.685998577007733e-07,4.4092744913896915
22,0.06111919026981482,0.6283933647816845,1.2936938462810703e-07,4.408200501266224,1.6937198731765262e-07,4.408200501266224
23,0.06389733528207912,0.628349902302491,1.2838863344913384e-07,4.407126771511537,1.7014746798280631e-07,4.407126771511537
24,0.06667548029434343,0.628306948633445,1.274160612056439e-07,4.4060530762870265,1.7092647775113295e-07,4.4060530762870265
25,0.06945362530660774,0.628264511923793,1.2645152296540007e-07,4.404979546408294,1.7170893688313132e-07,4.404979546408294
26,0.07223177031887205,0.6282226015181595,1.2549496569663733e-07,4.403906148298886,1.7249488454257136e-07,4.403906148298886
27,0.07500991533113636,0.6281812042761002,1.2454628756445052e-07,4.402832939961277,1.7328429345785546e-07,4.402832939961277
28,0.07778806034340068,0.6281403308311991,1.2360543049855374e-07,4.4017598996676774,1.7407719405421664e-07,4.4017598996676774
29,0.08056620535566499,0.6280999791067624,1.2267233653262128e-07,4.40068700650266,1.748736167883257e-07,4.40068700650266
30,0.0833443503679293,0.6280601511642238,1.2174691381953414e-07,4.399614304279363,1.7567354403234883e-07,4.399614304279363
31,0.0861224953801936,0.6280208347961673,1.2082913983028023e-07,4.398541707548385,1.7647705502414998e-07,4.398541707548385
32,0.08890064039245792,0.6279820641854114,1.1991882381839608e-07,4.3974694512437935,1.7728398750763902e-07,4.3974694512437935
33,0.09167878540472223,0.6279438001207227,1.1901601983104528e-07,4.39639730698323,1.780945287532238e-07,4.39639730698323
34,0.09445693041698654,0.6279060587476976,1.1812065044012433e-07,4.395325295431241,1.7890867838846464e-07,4.395325295431241
35,0.09723507542925085,0.6278688604836719,1.1723252373222854e-07,4.39425366352051,1.7972626283327118e-07,4.39425366352051
36,0.10001322044151516,0.6278321794207246,1.1635170701616773e-07,4.3931821557788755,1.8054749194182368e-07,4.3931821557788755
37,0.10279136545377947,0.6277960310424954,1.154780751224383e-07,4.392110892175429,1.813722886072444e-07,4.392110892175429
38,0.10556951046604378,0.6277604091034591,1.1461156766752733e-07,4.391039868291589,1.822006710803443e-07,4.391039868291589
39,0.10834765547830809,0.6277253198847733,1.137521114228818e-07,4.389969106130344,1.830326367597417e-07,4.389969106130344
40,0.1111258004905724,0.627690752974817,1.1289970614491227e-07,4.388898481888173,1.838682972369635e-07,4.388898481888173
41,0.11390394550283671,0.6276567236543602,1.1205415839097706e-07,4.38782826368674,1.8470745754214424e-07,4.38782826368674
42,0.11668209051510102,0.627623228281866,1.1121549894488655e-07,4.38675826714942,1.855502762458766e-07,4.38675826714942
43,0.11946023552736533,0.6275902634505534,1.1038365244283008e-07,4.385688524079611,1.8639674342741695e-07,4.385688524079611
44,0.12223838053962964,0.6275578112979581,1.0955855240544798e-07,4.384619049718424,1.87246861909045e-07,4.384619049718424
45,0.12501652555189394,0.6275258262081795,1.0874016683054386e-07,4.383549787970842,1.8810069102433577e-07,4.383549787970842
46,0.12779467056415825,0.6274943092375238,1.0792830881835055e-07,4.3824810101966865,1.8895802801841342e-07,4.3824810101966865
47,0.13057281557642256,0.6274632417507182,1.071230677508567e-07,4.381412408558893,1.8981913425352572e-07,4.381412408558893
48,0.13335096058868687,0.6274326420910404,1.0632430710935139e-07,4.380344151228314,1.906838888311589e-07,4.380344151228314
49,0.13612910560095118,0.6274024982575357,1.0553198214073177e-07,4.379276215002693,1.915523251266492e-07,4.379276215002693
50,0.1389072506132155,0.6273728157067691,1.047460501439803e-07,4.378208571991457,1.9242448017638574e-07,4.378208571991457
51,0.1416853956254798,0.6273436006814749,1.039664205492375e-07,4.377141299555553,1.933003050647993e-07,4.377141299555553
52,0.1444635406377441,0.627314846994021,1.0319306244830589e-07,4.376074347051208,1.9417985568095457e-07,4.376074347051208
53,0.14724168565000842,0.6272865418867778,1.0242592112118558e-07,4.375007716762587,1.9506314515817356e-07,4.375007716762587
54,0.15001983066227273,0.6272587202759052,1.0166491565667115e-07,4.373941468897189,1.9595013688814218e-07,4.373941468897189
55,0.15279797567453704,0.6272313552467599,1.0090998629215623e-07,4.372875621020298,1.968408309430773e-07,4.372875621020298
56,0.15557612068680135,0.6272044579997245,1.0016110689937595e-07,4.371810114735225,1.9773528992157265e-07,4.371810114735225
57,0.15835426569906566,0.627178016222763,9.941822061054029e-08,4.370744962038576,1.9863351860702905e-07,4.370744962038576
58,0.16113241071132997,0.6271520440863431,9.86812526303154e-08,4.3696802165066835,1.9953548551457874e-07,4.3696802165066835
59,0.16391055572359428,0.6271265396681142,9.795015712223637e-08,4.3686158680028235,2.0044121328133195e-07,4.3686158680028235
60,0.1666887007358586,0.6271014949163273,9.722489127214545e-08,4.367551900213503,2.0135073011153432e-07,4.367551900213503
61,0.1694668457481229,0.627076924840967,9.650538778510022e-08,4.366488354047861,2.0226401462551055e-07,4.366488354047861
62,0.1722449907603872,0.6270528175250626,9.579159449211796e-08,4.365425237917622,2.0318107382305974e-07,4.365425237917622
63,0.17502313577265152,0.6270291702533869,9.508348483577959e-08,4.364362500126746,2.0410196631757927e-07,4.364362500126746
64,0.17780128078491583,0.6270060029832429,9.438094632099975e-08,4.363300293642818,2.0502657269038832e-07,4.363300293642818
65,0.18057942579718014,0.6269832991038491,9.368400246111341e-08,4.362238450174556,2.0595505342364684e-07,4.362238450174556
66,0.18335757080944445,0.6269610601164581,9.299255244626964e-08,4.361177098745402,2.0688730969519067e-07,4.361177098745402
67,0.18613571582170876,0.6269392834294475,9.230661354680738e-08,4.360116084805205,2.078234913547176e-07,4.360116084805205
68,0.18891386083397307,0.6269179949628682,9.162599737955598e-08,4.359055755038237,2.0876330492646258e-07,4.359055755038237
69,0.19169200584623738,0.6268971587251878,9.095081372490825e-08,4.357995731069324,2.0970709995869913e-07,4.357995731069324
70,0.1944701508585017,0.6268768004009383,9.028090271873921e-08,4.356936294626219,2.106546387896949e-07,4.356936294626219
71,0.197248295870766,0.6268569040414558,8.961630552981189e-08,4.355877233499919,2.1160612508970878e-07,4.355877233499919
72,0.20002644088303032,0.6268374834664979,8.895689199365951e-08,4.3548187622196775,2.1256137930976097e-07,4.3548187622196775
73,0.20280458589529463,0.6268185326758581,8.83026684615382e-08,4.353760755851057,2.1352052731755363e-07,4.353760755851057
74,0.20558273090755894,0.6268000443784699,8.765356958828927e-08,4.352703270536612,2.1448353193067006e-07,4.352703270536612
75,0.20836087591982325,0.6267820182631811,8.700957365318473e-08,4.351646252335785,2.1545045575459806e-07,4.351646252335785
76,0.21113902093208756,0.6267644839576134,8.637056704722772e-08,4.350589884019916,2.1642114335905506e-07,4.350589884019916
77,0.21391716594435187,0.6267474093726192,8.573657598433276e-08,4.349533991461137,2.173957684476442e-07,4.349533991461137
78,0.21669531095661618,0.6267308049243062,8.51075350806955e-08,4.3484786360220475,2.1837428750147077e-07,4.3484786360220475
79,0.2194734559688805,0.6267146682226699,8.448341863287621e-08,4.347423777064699,2.193567515241382e-07,4.347423777064699
80,0.2222516009811448,0.6266990080673239,8.386411022649125e-08,4.346369615173147,2.2034298585057807e-07,4.346369615173147
