,Transformation parameter epsilon,RMS CML PLM,Parameter A,Parameter gamma,Inverse parameter A,Inverse parameter gamma
0,0.0,0.2959050476587195,2.8810099279891724e-06,3.412393666077258,2.8810099279891724e-06,3.412393666077258
1,0.00277814501226431,0.2971006230497256,2.9173568614754357e-06,3.407163043828305,2.9451024814212324e-06,3.407163043828305
2,0.00555629002452862,0.30016644614631177,3.070427300255486e-06,3.3928064578371027,3.1288582271415693e-06,3.3928064578371027
3,0.00833443503679293,0.3000704967806784,2.7860262586347604e-06,3.4131266035629158,2.866416898808474e-06,3.4131266035629158
4,0.01111258004905724,0.30056716789010207,3.2945825064870383e-07,3.9083022079785197,3.44082330605595e-07,3.9083022079785197
5,0.01389072506132155,0.30056554966339194,3.258943209841689e-07,3.9083068714011318,3.440759356763327e-07,3.9083068714011318
6,0.01666887007358586,0.2931683567306839,2.9848343568859e-06,3.3913665781725486,3.1584282112098385e-06,3.3913665781725486
7,0.01944701508585017,0.2972566562011906,2.978246126449271e-06,3.3892704136148235,3.1811595603534236e-06,3.3892704136148235
8,0.02222516009811448,0.2915798132533074,2.1637236222940823e-06,3.461463259121795,2.3367526562430146e-06,3.461463259121795
9,0.02500330511037879,0.29402244010949335,2.041971098972916e-06,3.4723452375910764,2.227178802978886e-06,3.4723452375910764
10,0.0277814501226431,0.2965012593524259,1.7873143532365188e-06,3.500589623905105,1.9698661334932424e-06,3.500589623905105
11,0.03055959513490741,0.30055580943894294,3.053111310478056e-07,3.9083307272483,3.440435895421677e-07,3.9083307272483
12,0.03333774014717172,0.3005541836475303,3.020100674300831e-07,3.90833407010769,3.440391222294205e-07,3.90833407010769
13,0.03611588515943603,0.3005525576823297,2.987449276596636e-07,3.9083372268197207,3.4403492659010776e-07,3.9083372268197207
14,0.03889403017170034,0.3005509313075373,2.955153090278001e-07,3.908340205028991,3.440309913883228e-07,3.908340205028991
15,0.04167217518396465,0.3005493039079021,2.923208154039819e-07,3.9083430108490362,3.440273075637087e-07,3.9083430108490362
16,0.04445032019622896,0.30054767707444713,2.8916105434569055e-07,3.908345651147362,3.4402386500885205e-07,3.908345651147362
17,0.04722846520849327,0.3005460523595234,2.86035612422943e-07,3.9083481533054427,3.4402062322450266e-07,3.9083481533054427
18,0.05000661022075758,0.30054442483860117,2.829441919739474e-07,3.9083504552568398,3.4401767419008744e-07,3.9083504552568398
19,0.05278475523302189,0.30054279577174253,2.7988640187200154e-07,3.9083525720791634,3.440149952028156e-07,3.9083525720791634
20,0.0555629002452862,0.30054116617767324,2.7686184159307385e-07,3.9083545313357004,3.440125460891078e-07,3.9083545313357004
21,0.05834104525755051,0.30053953929402993,2.738701356623671e-07,3.908356343428729,3.440103110520608e-07,3.908356343428729
22,0.06111919026981482,0.29512173827120913,2.338704165681186e-06,3.412472246455449,2.881078033081979e-06,3.412472246455449
23,0.06389733528207912,0.29792814455611744,2.278261334971772e-06,3.415993552618154,2.8339895815660515e-06,3.415993552618154
24,0.06667548029434343,0.2976161648793306,2.2134888155329902e-06,3.420446763651179,2.7804974516087576e-06,3.420446763651179
25,0.06945362530660774,0.2963948526035764,2.3194912663589546e-06,3.407729207171191,2.9388755064648434e-06,3.407729207171191
26,0.07223177031887205,0.2966144550080594,2.328602489019175e-06,3.4046527508583493,2.9778226914800063e-06,3.4046527508583493
27,0.07500991533113636,0.3005297823948247,2.565902247964399e-07,3.908363968027461,3.440016337644546e-07,3.908363968027461
28,0.07778806034340068,0.2922406179619892,1.6153272615971567e-06,3.4842016518088084,2.118200406309047e-06,3.4842016518088084
29,0.08056620535566499,0.2933794168214301,1.623951389710419e-06,3.4806528988246406,2.1496075811077104e-06,3.4806528988246406
30,0.0833443503679293,0.2932218274458224,2.268767475330251e-06,3.4023233129862827,3.0125929342628366e-06,3.4023233129862827
31,0.0861224953801936,0.29377707408581943,2.147224603772189e-06,3.4126363118491034,2.880837012514964e-06,3.4126363118491034
32,0.08890064039245792,0.29765590189007224,2.3371396627149294e-06,3.390821183010289,3.1593742629449595e-06,3.390821183010289
33,0.09167878540472223,0.29814590249977774,2.210312302178045e-06,3.4012974803790437,3.0191056361304157e-06,3.4012974803790437
34,0.09445693041698654,0.3005184261637216,2.378101582276159e-07,3.908366249912381,3.440011429104937e-07,3.908366249912381
35,0.09723507542925085,0.30051680788103036,2.3524248153252197e-07,3.9083660304868966,3.440018668523727e-07,3.9083660304868966
36,0.10001322044151516,0.30051519126641985,2.3270266713537087e-07,3.908365673853558,3.440027906304081e-07,3.908365673853558
37,0.10279136545377947,0.3005135781733531,2.3019037741768769e-07,3.9083652135694256,3.4400386454172437e-07,3.9083652135694256
38,0.10556951046604378,0.3005119589426695,2.2770539751514635e-07,3.9083645657807464,3.440052129638408e-07,3.9083645657807464
39,0.10834765547830809,0.3005103442753161,2.2524733837278946e-07,3.9083638215097385,3.4400670102600705e-07,3.9083638215097385
40,0.1111258004905724,0.3005087315728416,2.2281593564355605e-07,3.9083629521443357,3.4400837107325415e-07,3.9083629521443357
41,0.11390394550283671,0.3005071152611755,2.2041093497763373e-07,3.9083619210562404,3.440102775567134e-07,3.9083619210562404
42,0.12501652555189394,0.3005006857603643,2.1104865988665125e-07,3.9083567974866282,3.440193514147476e-07,3.9083567974866282
43,0.12779467056415825,0.3004990801257832,2.087711944638602e-07,3.9083551978265696,3.4402208431293317e-07,3.9083551978265696
44,0.13057281557642256,0.30049747836380825,2.0651839531276546e-07,3.90835350025508,3.440249592317501e-07,3.90835350025508
