,Transformation parameter epsilon,RMS colon PLM,Parameter A,Parameter gamma,Inverse parameter A,Inverse parameter gamma
0,0.0,0.6019349707053484,9.89882907588271e-07,4.474584561698139,9.89882907588271e-07,4.474584561698139
1,0.00277814501226431,0.6017005518292718,1.0590737394595512e-06,4.455408067072727,1.0722641759861978e-06,4.455408067072727
2,0.00555629002452862,0.604308165861956,8.273923394559494e-07,4.51159586887077,8.483953404650381e-07,4.51159586887077
3,0.00833443503679293,0.6041222939003448,8.211059303871038e-07,4.510423446409973,8.525603158472623e-07,4.510423446409973
4,0.01111258004905724,0.6054595191443611,7.630508539867327e-07,4.524984972462301,8.024013642345195e-07,4.524984972462301
5,0.01389072506132155,0.6016186921950861,8.933779680185199e-07,4.484277079233771,9.507960753993476e-07,4.484277079233771
6,0.01666887007358586,0.6061308949627828,7.653698589123471e-07,4.518192539133199,8.252384353255987e-07,4.518192539133199
7,0.01944701508585017,0.6007340987621167,9.346905844432303e-07,4.46754414362525,1.0195289105088275e-06,4.46754414362525
8,0.02222516009811448,0.6008160838288495,1.0228670610052995e-06,4.4430763604811245,1.1290285941568403e-06,4.4430763604811245
9,0.02500330511037879,0.6005991832131937,1.0255163521323809e-06,4.43952917782026,1.1459100748589152e-06,4.43952917782026
10,0.0277814501226431,0.6007417213702171,1.0689287784510589e-06,4.426731606036387,1.2088119631965784e-06,4.426731606036387
11,0.03055959513490741,0.6012307521716321,8.106846908788747e-07,4.489634527577858,9.29903299260841e-07,4.489634527577858
12,0.03333774014717172,0.6001315735205438,9.671633595447375e-07,4.444675604794509,1.1216351510860172e-06,4.444675604794509
13,0.03611588515943603,0.5999693065357473,9.853589320310173e-07,4.437322708527888,1.156627601927617e-06,4.437322708527888
14,0.04167217518396465,0.6004264122530093,8.040380562952334e-07,4.479749327308637,9.69060940985507e-07,4.479749327308637
15,0.04445032019622896,0.5999057109798821,9.504191042687737e-07,4.437116576053217,1.1576348754659244e-06,4.437116576053217
16,0.04722846520849327,0.6003201303634405,7.543171598161308e-07,4.489010346628577,9.324560181683308e-07,4.489010346628577
17,0.05000661022075758,0.6006857367458165,7.306210172941348e-07,4.493618726921856,9.14708578657181e-07,4.493618726921856
18,0.05278475523302189,0.6007550251928423,7.209987924867154e-07,4.493799838494681,9.140100683091241e-07,4.493799838494681
19,0.0555629002452862,0.6002515518725353,7.280238402178766e-07,4.488553907157943,9.342376678281186e-07,4.488553907157943
20,0.05834104525755051,0.5997050044081464,7.385824127151842e-07,4.482203923634176,9.593242711948734e-07,4.482203923634176
21,0.06111919026981482,0.5994090612637735,9.281077889225458e-07,4.425290438296478,1.216359969410935e-06,4.425290438296478
22,0.06389733528207912,0.5994907473211774,7.022489475252406e-07,4.488259825733727,9.354950086240813e-07,4.488259825733727
23,0.06945362530660774,0.5984891627834049,7.192437564759208e-07,4.4767478053081184,9.815438472697624e-07,4.4767478053081184
24,0.07223177031887205,0.5997477228055679,6.545562706495256e-07,4.496035257759662,9.057054499536884e-07,4.496035257759662
25,0.07500991533113636,0.5986811255525017,6.854936154190567e-07,4.4822142272428565,9.594399174490888e-07,4.4822142272428565
26,0.07778806034340068,0.5981898532584977,7.039779987757779e-07,4.473019387639071,9.96944006076176e-07,4.473019387639071
27,0.08056620535566499,0.5975762497887688,8.412035059988442e-07,4.4282325961289715,1.2018285989457077e-06,4.4282325961289715
28,0.0833443503679293,0.5971779246237244,7.964595793358728e-07,4.438188677751271,1.1529444406885654e-06,4.438188677751271
29,0.09167878540472223,0.5974075978989412,8.376530436709511e-07,4.417709644930184,1.2559081812229423e-06,4.417709644930184
30,0.09445693041698654,0.5975402438346497,6.219069809323135e-07,4.484650885916589,9.499381620441621e-07,4.484650885916589
31,0.09723507542925085,0.5963119400831194,7.501777762677532e-07,4.437802286763643,1.154959149069293e-06,4.437802286763643
32,0.10001322044151516,0.5977437448578813,5.911094217220922e-07,4.4907192147533035,9.262391269653233e-07,4.4907192147533035
33,0.10279136545377947,0.5963170929736077,7.853784611596408e-07,4.421330065629243,1.237242351918943e-06,4.421330065629243
34,0.10556951046604378,0.5968108117274716,6.107531808349104e-07,4.477238204149968,9.798042077129839e-07,4.477238204149968
35,0.10834765547830809,0.5966702126798789,8.009742596192637e-07,4.411009658435686,1.2917476733815768e-06,4.411009658435686
36,0.1111258004905724,0.5953460842294962,7.017284013217241e-07,4.439031292168695,1.149218404699416e-06,4.439031292168695
37,0.11390394550283671,0.5961938529102336,5.879150738071488e-07,4.477447202909952,9.790487209789795e-07,4.477447202909952
38,0.11668209051510102,0.5958419187810375,6.001365857460455e-07,4.469745846517044,1.011001357411805e-06,4.469745846517044
39,0.11946023552736533,0.5981695400773736,8.26768639069535e-07,4.392216361840374,1.397192433814385e-06,4.392216361840374
40,0.12223838053962964,0.5991700358322269,8.609407289504156e-07,4.379966947132266,1.4705999543404482e-06,4.379966947132266
41,0.12501652555189394,0.5979756356781611,8.142794663114575e-07,4.390095098275306,1.4097082792473183e-06,4.390095098275306
42,0.12779467056415825,0.5946117910155437,6.052297843140076e-07,4.456256121899596,1.069657708578673e-06,4.456256121899596
43,0.13057281557642256,0.5960964819355771,7.419175297428565e-07,4.406060252001961,1.3188953165449843e-06,4.406060252001961
44,0.13335096058868687,0.5973703051340667,7.81285408776488e-07,4.391219818837194,1.4032046062045703e-06,4.391219818837194
