,Transformation parameter epsilon,RMS myeloma IM-III,Parameter A,Parameter tau,Parameter C,Parameter alpha,Inverse parameter A,Inverse parameter gamma,Inverse parameter C,Inverse parameter alpha
0,0.24971882044410648,0.24971882044410648,0.04517264680933023,13.710618848766421,0.9990260617789555,0.1273620116804712,0.04517264680933023,13.710618848766421,0.9990260617789555,0.1273620116804712
1,0.2497310793216001,0.2497310793216001,0.06693976092459657,16.727594597130437,0.9985564428259645,0.12717340921092304,0.06693976092459657,16.727594597130437,0.9985577051874438,0.12717340921092304
2,0.2521383577292417,0.2521383577292417,0.4746135099473465,31.239285000314265,0.989885182101496,0.1237801363460931,0.4746135099473465,31.239285000314265,0.9898991754817265,0.1237801363460931
3,0.24985483956062082,0.24985483956062082,0.03924051922800331,12.633586554929138,0.9991514438042677,0.12743334681306065,0.03924051922800331,12.633586554929138,0.9991537058583929,0.12743334681306065
4,0.24973516898357237,0.24973516898357237,0.038997995332369445,12.594474637475802,0.9991535632863036,0.12746090612741848,0.038997995332369445,12.594474637475802,0.9991588181304174,0.12746090612741848
5,0.25051838849513114,0.25051838849513114,0.06920980716711762,16.997477314361312,0.9984978702607358,0.12719922971280545,0.06920980716711762,16.997477314361312,0.9985083284935811,0.12719922971280545
6,0.24951038246931953,0.24951038246931953,0.03434918010321561,11.617005165159636,0.9992530122788493,0.12750674552541585,0.03434918010321561,11.617005165159636,0.9992589824029227,0.12750674552541585
7,0.2494890518700083,0.2494890518700083,0.04141363122289841,13.062270419543298,0.9990987290815305,0.1274562368184259,0.04141363122289841,13.062270419543298,0.9991066964426162,0.1274562368184259
8,0.24965678574640862,0.24965678574640862,0.046990106111574045,14.035731647354314,0.9989766114980608,0.12741233743765892,0.046990106111574045,14.035731647354314,0.9989865237996475,0.12741233743765892
9,0.2505127237286134,0.2505127237286134,0.07223408176870551,17.33114967515613,0.9984265772629537,0.1271998920090161,0.07223408176870551,17.33114967515613,0.998442945033011,0.1271998920090161
10,0.2495124274432398,0.2495124274432398,0.04638939730544304,13.944226106756473,0.9989868834929511,0.12743962962796015,0.04638939730544304,13.944226106756473,0.9989993603368904,0.12743962962796015
11,0.24965708669836117,0.24965708669836117,0.047873132715971184,14.188119582032689,0.9989535776163644,0.12743147755937995,0.047873132715971184,14.188119582032689,0.9989673652127379,0.12743147755937995
12,0.25068222755395725,0.25068222755395725,0.07029070099176443,17.13195850655117,0.9984631776751092,0.12724425318025825,0.07029070099176443,17.13195850655117,0.9984844789691233,0.12724425318025825
13,0.250675248527477,0.250675248527477,0.07257690699214242,17.378175736899806,0.9984118356015838,0.12723255555115198,0.07257690699214242,17.378175736899806,0.9984351816317164,0.12723255555115198
14,0.24924960946369812,0.24924960946369812,0.046517277180915494,13.97355695448964,0.9989803827916962,0.12746379523079648,0.046517277180915494,13.97355695448964,0.9989964930151487,0.12746379523079648
15,0.24971764724281087,0.24971764724281087,0.055146502418059226,15.281800497210172,0.9987904419181135,0.12739531265638518,0.055146502418059226,15.281800497210172,0.998810501180743,0.12739531265638518
16,0.2488265116836526,0.2488265116836526,0.03798363428540133,12.418383389082301,0.999165718615248,0.12754873737719463,0.03798363428540133,12.418383389082301,0.999180425375698,0.12754873737719463
17,0.2489201631989671,0.2489201631989671,0.04099518340347619,13.008691276741475,0.9990988288338242,0.12753031018956493,0.04099518340347619,13.008691276741475,0.9991154721095867,0.12753031018956493
18,0.24870005418438676,0.24870005418438676,0.041140203287781056,13.037025290095363,0.9990948315391667,0.1275340745323676,0.041140203287781056,13.037025290095363,0.9991123318445374,0.1275340745323676
19,0.24936521541282172,0.24936521541282172,0.05349462469508925,15.06249329616118,0.9988202036011922,0.1274508024396659,0.05349462469508925,15.06249329616118,0.9988459028163067,0.1274508024396659
