,Transformation parameter epsilon,RMS CML IM-III,Parameter A,Parameter tau,Parameter C,Parameter alpha,Inverse parameter A,Inverse parameter gamma,Inverse parameter C,Inverse parameter alpha
0,0.0,0.20326334319391692,0.029450293594056882,-12.846854115006105,0.9994953116886637,0.06420487729706151,0.029450293594056882,-12.846854115006105,0.9994953116886637,0.06420487729706151
1,0.0003653068070734702,0.20318790983290777,0.028389436567288578,-13.361798663595332,0.9995002565970896,0.06425746000297376,0.028389436567288578,-13.361798663595332,0.9995102037350905,0.06425746000297376
2,0.0007306136141469404,0.20299949990680036,0.024009630100143915,-15.833364289948321,0.999564119865363,0.06436992800926952,0.024009630100143915,-15.833364289948321,0.9995810921808796,0.06436992800926952
3,0.0010959204212204106,0.20107168194050884,0.0030449888876006295,-47.25315208680744,0.9999420085214531,0.06474637016868069,0.0030449888876006295,-47.25315208680744,0.9999453372890375,0.06474637016868069
4,0.0014612272282938808,0.2026423798592095,0.013490834202072347,-24.595494875001627,0.9997432557224002,0.06449873902820305,0.013490834202072347,-24.595494875001627,0.999762544894713,0.06449873902820305
5,0.001826534035367351,0.20152443041402512,0.00958949134247241,-29.758186624324964,0.9998127898353476,0.06459188883718373,0.00958949134247241,-29.758186624324964,0.999830049488016,0.06459188883718373
6,0.002191840842440821,0.20155212883136298,0.01038598085523918,-28.532074482134142,0.9997935037882391,0.06458703779042556,0.01038598085523918,-28.532074482134142,0.9998159237861062,0.06458703779042556
7,0.0025571476495142914,0.20043407104419175,0.004055096712197908,-42.682577665919524,0.9999159656355698,0.06484845824826795,0.004055096712197908,-42.682577665919524,0.9999263785438631,0.06484845824826795
8,0.0029224544565877616,0.2010983827134153,0.010249568409682351,-28.670724536241522,0.9997876459785959,0.06464079281969944,0.010249568409682351,-28.670724536241522,0.9998172518039682,0.06464079281969944
9,0.003287761263661232,0.20123992793220016,0.011783733514676842,-26.546586359464683,0.9997519455135948,0.06461809948478871,0.011783733514676842,-26.546586359464683,0.999790163698889,0.06461809948478871
10,0.003653068070734702,0.20045841956608007,0.013431384893317242,-24.353288908021845,0.9997078280779782,0.06476519883793505,0.013431384893317242,-24.353288908021845,0.9997566944850019,0.06476519883793505
11,0.004018374877808172,0.19945939188053294,0.0033200829181591015,-45.63655123705317,0.9999258672186899,0.06493250035205378,0.0033200829181591015,-45.63655123705317,0.9999393434899785,0.06493250035205378
12,0.004383681684881642,0.20073425689872432,0.009828826964017929,-29.17466382380967,0.9997799360969483,0.06475102626490604,0.009828826964017929,-29.17466382380967,0.9998228565753995,0.06475102626490604
13,0.004748988491955113,0.2017337534863807,0.025974965954784122,-14.383132204081274,0.9994114770973085,0.06460508451571395,0.025974965954784122,-14.383132204081274,0.9995326236861074,0.06460508451571395
14,0.005114295299028583,0.19934394662636684,0.008900777488324288,-30.608378734807978,0.9997929427672956,0.06482948966709293,0.008900777488324288,-30.608378734807978,0.9998385230229555,0.06482948966709293
15,0.0054796021061020534,0.19970110336495206,0.011098478703509898,-27.2666566546462,0.9997385793738158,0.06478522901121284,0.011098478703509898,-27.2666566546462,0.9997992605491832,0.06478522901121284
