,Transformation parameter epsilon,RMS colon IM-III,Parameter A,Parameter tau,Parameter C,Parameter alpha,Inverse parameter A,Inverse parameter gamma,Inverse parameter C,Inverse parameter alpha
47,0.00097187469459046,0.5128373150788469,9.43767477892284,33.5666005465229,0.9784323981608426,0.0963585105723897,9.43767477892284,33.5666005465229,0.980810302755608,0.0963585105723897
48,0.0009895451435830138,0.5131313578819958,9.445748799042743,33.57245033449553,0.9783709140090237,0.09634722808816439,9.445748799042743,33.57245033449553,0.9807922173933998,0.09634722808816439
49,0.0010072155925755677,0.5134328021273769,9.453824386089174,33.57829657785256,0.9783093275469569,0.09633596499642233,9.453824386089174,33.57829657785256,0.9807740364954609,0.09633596499642233
50,0.0010248860415681214,0.513741849564404,9.461911199305627,33.58414746320159,0.9782476166163677,0.09632471579923926,9.461911199305627,33.58414746320159,0.9807557393245816,0.09632471579923926
51,0.001060226939553229,0.5143831905404688,9.478102028805516,33.595848503845,0.9781238586398285,0.09630226510727796,9.478102028805516,33.595848503845,0.9807188309579155,0.09630226510727796
52,0.001077897388545783,0.5147155568460012,9.486197671428133,33.60169339979409,0.9780618271821295,0.09629107920525051,9.486197671428133,33.60169339979409,0.9807002359651585,0.09629107920525051
53,0.0010955678375383366,0.5150564123133455,9.49432446670515,33.60755744057042,0.9779996295144538,0.09627988144112627,9.49432446670515,33.60755744057042,0.9806814840615498,0.09627988144112627
54,0.0011132382865308905,0.5154052926411713,9.502445806374885,33.6134129521853,0.97793734208934,0.09626871400255,9.502445806374885,33.6134129521853,0.9806626496496689,0.09626871400255
55,0.0011309087355234444,0.5157627092545716,9.510582373804429,33.61927536144506,0.9778749215975051,0.09625755194777605,9.510582373804429,33.61927536144506,0.9806436905438695,0.09625755194777605
56,0.0011485791845159982,0.5161288055910246,9.518736745905622,33.62514729271622,0.977812361156834,0.09624639644683917,9.518736745905622,33.62514729271622,0.9806246008162088,0.09624639644683917
57,0.001166249633508552,0.5165036023651342,9.52689775516788,33.631019124993195,0.977749686150212,0.0962352535583082,9.52689775516788,33.631019124993195,0.9806054041056836,0.0962352535583082
58,0.0011839200825011058,0.5168872091572196,9.535067583994612,33.63689376859256,0.9776868893102347,0.09622412824139219,9.535067583994612,33.63689376859256,0.9805860946436716,0.09622412824139219
59,0.0012015905314936596,0.5172797859860662,9.543245193579073,33.64276984083483,0.9776239739787408,0.09621301812117189,9.543245193579073,33.64276984083483,0.9805666751917418,0.09621301812117189
