,Transformation parameter epsilon,RMS myeloma PLM,Parameter A,Parameter gamma,Inverse parameter A,Inverse parameter gamma
0,0.0,0.6294782582944095,1.5316391776294348e-07,4.431844984772758,1.5316391776294348e-07,4.431844984772758
1,0.0020815230647445804,0.6294373319959979,1.522786542872235e-07,4.431039461669638,1.536896647412481e-07,4.431039461669638
2,0.004163046129489161,0.6293966798711004,1.513989936929775e-07,4.430233974879676,1.5421719450161773e-07,4.430233974879676
3,0.006244569194233741,0.6293563075774196,1.5052493666332965e-07,4.4294284637386365,1.5474655275724414e-07,4.4294284637386365
4,0.008326092258978322,0.6293162075107879,1.496564452977952e-07,4.428622927815859,1.5527774639646645e-07,4.428622927815859
5,0.010407615323722901,0.629276386354469,1.4879346739767496e-07,4.427817389107821,1.5581076711967683e-07,4.427817389107821
6,0.012489138388467482,0.6292368409400829,1.4793595284837467e-07,4.427011867602346,1.5634560803913702e-07,4.427011867602346
7,0.014570661453212064,0.6291975739954163,1.4708390017718572e-07,4.426206306318772,1.568823132426505e-07,4.426206306318772
8,0.016652184517956643,0.6291585913217237,1.4623717865441903e-07,4.425400854652851,1.5742078927941967e-07,4.425400854652851
9,0.018733707582701223,0.6291198919611076,1.4539585657762498e-07,4.424595345074535,1.5796115420628606e-07,4.424595345074535
10,0.020815230647445802,0.6290814597152208,1.4455985109252787e-07,4.423789852391806,1.585033648331111e-07,4.423789852391806
11,0.022896753712190385,0.6290433190258873,1.4372912105291223e-07,4.422984383922928,1.5904742185148892e-07,4.422984383922928
12,0.024978276776934965,0.6290054582727598,1.4290359375845442e-07,4.422179000668783,1.595932904619629e-07,4.422179000668783
13,0.027059799841679544,0.6289678727537548,1.420833111895996e-07,4.421373576237201,1.6014106260177582e-07,4.421373576237201
14,0.029141322906424127,0.6289305739848923,1.412681949988183e-07,4.420568180508625,1.6069069701142783e-07,4.420568180508625
15,0.031222845971168707,0.6288935615839145,1.4045821489112576e-07,4.419762805805224,1.6124220524561413e-07,4.419762805805224
16,0.03330436903591329,0.6288568273907489,1.3965331328367854e-07,4.418957490632843,1.6179556740950988e-07,4.418957490632843
17,0.035385892100657866,0.6288203751183271,1.388534715690097e-07,4.418152208742277,1.623508076172387e-07,4.418152208742277
