,Transformation parameter epsilon,RMS myeloma IM-III,Parameter A,Parameter tau,Parameter C,Parameter alpha,Inverse parameter A,Inverse parameter gamma,Inverse parameter C,Inverse parameter alpha
110,0.2312165833475375,0.2312165833475375,0.04282894940346878,13.511403688028624,0.9990003078053749,0.12799278156404917,0.04282894940346878,13.511403688028624,0.999077036175109,0.12799278156404917
111,0.23071086295036775,0.23071086295036775,0.03980327463747626,12.953936498480322,0.9990702948161807,0.12802345887859096,0.03980327463747626,12.953936498480322,0.9991423805089793,0.12802345887859096
112,0.231245028322082,0.231245028322082,0.046170339476937036,14.09324696889429,0.998920363134019,0.12798078596957418,0.046170339476937036,14.09324696889429,0.9990050680033865,0.12798078596957418
113,0.23378767801045733,0.23378767801045733,0.05530359161362253,15.48222519164171,0.9987061750595965,0.1279195616310735,0.05530359161362253,15.48222519164171,0.9988080357840875,0.1279195616310735
114,0.23217523273045082,0.23217523273045082,0.05324579348335712,15.1915545773771,0.9987534873403017,0.12794302215837794,0.05324579348335712,15.1915545773771,0.9988524750733522,0.12794302215837794
115,0.23581510320275031,0.23581510320275031,0.0638367408256022,16.585547063147455,0.9985048848416391,0.1278670265192483,0.0638367408256022,16.585547063147455,0.9986239250270889,0.1278670265192483
116,0.2280085164899386,0.2280085164899386,0.037197028198216055,12.44179561301526,0.9991278934564974,0.1280694210920035,0.037197028198216055,12.44179561301526,0.9991988180241174,0.1280694210920035
117,0.23151739706181343,0.23151739706181343,0.049298829016336095,14.611637235542954,0.9988436612439012,0.12798648762431047,0.049298829016336095,14.611637235542954,0.9989378679013163,0.12798648762431047
118,0.2309618082415089,0.2309618082415089,0.05268227251170517,15.11765929584706,0.9987635995327298,0.12796717601458374,0.05268227251170517,15.11765929584706,0.9988648496772435,0.12796717601458374
119,0.2257350564172944,0.2257350564172944,0.03295459877949359,11.516732969122547,0.9992258589404646,0.12812059436650167,0.03295459877949359,11.516732969122547,0.9992904115701192,0.12812059436650167
120,0.23009098799019193,0.23009098799019193,0.05237784566174842,15.07511673876514,0.9987692209613326,0.1279776159283414,0.05237784566174842,15.07511673876514,0.9988715070792041,0.1279776159283414
121,0.22639177730975144,0.22639177730975144,0.034982384969069164,11.983738151660967,0.9991772357011784,0.12811506145104337,0.034982384969069164,11.983738151660967,0.9992468153287546,0.12811506145104337
122,0.2304292502855598,0.2304292502855598,0.056821672502593505,15.70265457168704,0.9986632301132032,0.12795760644131748,0.056821672502593505,15.70265457168704,0.998775709052583,0.12795760644131748
123,0.225203575539279,0.225203575539279,0.034678886271359274,11.91748379108127,0.9991833688048676,0.1281251924065414,0.034678886271359274,11.91748379108127,0.9992534196489566,0.1281251924065414
124,0.22434130039293865,0.22434130039293865,0.03574083432319416,12.149843381883631,0.9991578485262449,0.1281259788408087,0.03574083432319416,12.149843381883631,0.999230555922159,0.1281259788408087
125,0.22611043125996014,0.22611043125996014,0.043505933777788,13.661578780391864,0.9989743842649451,0.12807035651187676,0.043505933777788,13.661578780391864,0.9990631784967778,0.12807035651187676
126,0.22855741333271423,0.22855741333271423,0.05448315813198928,15.38783597340196,0.9987150338435916,0.12799441569498762,0.05448315813198928,15.38783597340196,0.9988264161407955,0.12799441569498762
127,0.22869274917880655,0.22869274917880655,0.05499777248310821,15.463658566258013,0.998702102974003,0.12799693973733015,0.05499777248310821,15.463658566258013,0.9988153990780582,0.12799693973733015
128,0.22425360270746442,0.22425360270746442,0.037119768910168556,12.4514618088984,0.9991232303537538,0.1281330058817883,0.037119768910168556,12.4514618088984,0.9992010527891592,0.1281330058817883
129,0.22335773949078128,0.22335773949078128,0.038641775790123865,12.758686153081161,0.9990867396037102,0.12812806516982173,0.038641775790123865,12.758686153081161,0.9991682607323391,0.12812806516982173
130,0.2241918274159609,0.2241918274159609,0.04205625286198428,13.412072179985536,0.9990054856062907,0.12810734940318927,0.04205625286198428,13.412072179985536,0.9990947191709512,0.12810734940318927
131,0.22592011382989133,0.22592011382989133,0.0501072581935507,14.756752365735894,0.9988145221940892,0.12805240321720568,0.0501072581935507,14.756752365735894,0.9989211503932506,0.12805240321720568
132,0.2277765234278188,0.2277765234278188,0.05829383255482555,15.917785993996409,0.9986201539766905,0.12799943877043485,0.05829383255482555,15.917785993996409,0.9987445887849712,0.12799943877043485
133,0.2260352826967214,0.2260352826967214,0.05426594822512811,15.37038028319245,0.9987146332340849,0.12803386883313025,0.05426594822512811,15.37038028319245,0.9988315522062267,0.12803386883313025
134,0.21991663594504798,0.21991663594504798,0.028810075420783763,10.512392561083926,0.9993169179846851,0.12822456781809277,0.028810075420783763,10.512392561083926,0.9993803461280947,0.12822456781809277
135,0.25777359122852433,0.25777359122852433,0.17411036369646749,24.195022149995314,0.9958754808476673,0.1271915570613189,0.17411036369646749,24.195022149995314,0.9962350739668605,0.1271915570613189
136,0.22048620910831737,0.22048620910831737,0.03717828261441322,12.481400089187957,0.9991164755924128,0.12818168506066538,0.03717828261441322,12.481400089187957,0.9992003001186531,0.12818168506066538
137,0.22021466692603303,0.22021466692603303,0.03953067389080893,12.95345244600995,0.9990600274319805,0.12817174005431603,0.03953067389080893,12.95345244600995,0.9991496598161226,0.12817174005431603
138,0.21859522458452754,0.21859522458452754,0.035347975442252745,12.108366352055029,0.9991573874284221,0.12822582264643437,0.035347975442252745,12.108366352055029,0.9992400522844976,0.12822582264643437
139,0.29252396735826836,0.29252396735826836,0.3046468983770782,28.332309848855964,0.9927598140231988,0.1263568517948327,0.3046468983770782,28.332309848855964,0.9933824489917467,0.1263568517948327
140,0.29215771824791326,0.29215771824791326,0.3035760271794525,28.308656609615493,0.9927806131675684,0.12637239736325126,0.3035760271794525,28.308656609615493,0.9934057469376385,0.12637239736325126
141,0.21687737319208977,0.21687737319208977,0.031136680171317963,11.139800631964578,0.9992563910434501,0.12826894036669645,0.031136680171317963,11.139800631964578,0.9993308843407238,0.12826894036669645
142,0.21500266787088468,0.21500266787088468,0.03071089284374363,11.027737935652524,0.9992661207178483,0.12827395175960005,0.03071089284374363,11.027737935652524,0.9993400255748085,0.12827395175960005
143,0.2152929841551013,0.2152929841551013,0.034192663070678815,11.856910747506694,0.9991824570218696,0.12825760705563502,0.034192663070678815,11.856910747506694,0.9992651494273428,0.12825760705563502
